in s,C1 in V
-2.99005E-04,-6.748E-01
-2.99000E-04,-7.627E-01
-2.98995E-04,-7.627E-01
-2.98990E-04,-7.627E-01
-2.98984E-04,-7.627E-01
-2.98979E-04,-8.311E-01
-2.98974E-04,-8.115E-01
-2.98969E-04,-8.604E-01
-2.98964E-04,-8.311E-01
-2.98958E-04,-8.994E-01
-2.98953E-04,-8.896E-01
-2.98948E-04,-9.189E-01
-2.98943E-04,-8.799E-01
-2.98938E-04,-9.482E-01
-2.98932E-04,-9.385E-01
-2.98927E-04,-9.873E-01
-2.98922E-04,-9.385E-01
-2.98917E-04,-9.873E-01
-2.98912E-04,-9.482E-01
-2.98906E-04,-1.007E+00
-2.98901E-04,-9.775E-01
-2.98896E-04,-1.026E+00
-2.98891E-04,-1.026E+00
-2.98886E-04,-1.036E+00
-2.98880E-04,-9.971E-01
-2.98875E-04,-1.046E+00
-2.98870E-04,-9.971E-01
-2.98865E-04,-1.036E+00
-2.98860E-04,-9.775E-01
-2.98854E-04,-1.017E+00
-2.98849E-04,-1.017E+00
-2.98844E-04,-1.036E+00
-2.98839E-04,-9.482E-01
-2.98834E-04,-9.971E-01
-2.98828E-04,-9.775E-01
-2.98823E-04,-1.026E+00
-2.98818E-04,-9.580E-01
-2.98813E-04,-9.971E-01
-2.98808E-04,-9.580E-01
-2.98802E-04,-9.385E-01
-2.98797E-04,-9.287E-01
-2.98792E-04,-9.482E-01
-2.98787E-04,-9.287E-01
-2.98782E-04,-9.385E-01
-2.98776E-04,-8.896E-01
-2.98771E-04,-9.189E-01
-2.98766E-04,-8.701E-01
-2.98761E-04,-8.896E-01
-2.98756E-04,-8.311E-01
-2.98750E-04,-8.896E-01
-2.98745E-04,-8.018E-01
-2.98740E-04,-8.311E-01
-2.98735E-04,-7.920E-01
-2.98730E-04,-8.213E-01
-2.98724E-04,-8.018E-01
-2.98719E-04,-8.115E-01
-2.98714E-04,-7.432E-01
-2.98709E-04,-7.529E-01
-2.98704E-04,-7.432E-01
-2.98698E-04,-7.529E-01
-2.98693E-04,-6.650E-01
-2.98688E-04,-6.943E-01
-2.98683E-04,-6.748E-01
-2.98678E-04,-6.650E-01
-2.98672E-04,-6.162E-01
-2.98667E-04,-6.357E-01
-2.98662E-04,-5.771E-01
-2.98657E-04,-5.869E-01
-2.98652E-04,-5.283E-01
-2.98646E-04,-5.771E-01
-2.98641E-04,-5.576E-01
-2.98636E-04,-5.283E-01
-2.98631E-04,-4.990E-01
-2.98626E-04,-4.990E-01
-2.98620E-04,-4.697E-01
-2.98615E-04,-4.795E-01
-2.98610E-04,-4.111E-01
-2.98605E-04,-4.111E-01
-2.98600E-04,-4.307E-01
-2.98594E-04,-4.209E-01
-2.98589E-04,-3.623E-01
-2.98584E-04,-3.623E-01
-2.98579E-04,-3.135E-01
-2.98574E-04,-3.623E-01
-2.98568E-04,-2.939E-01
-2.98563E-04,-3.135E-01
-2.98558E-04,-2.939E-01
-2.98553E-04,-3.135E-01
-2.98548E-04,-2.549E-01
-2.98542E-04,-2.842E-01
-2.98537E-04,-2.256E-01
-2.98532E-04,-2.354E-01
-2.98527E-04,-1.963E-01
-2.98522E-04,-2.158E-01
-2.98516E-04,-1.865E-01
-2.98511E-04,-1.963E-01
-2.98506E-04,-1.572E-01
-2.98501E-04,-1.768E-01
-2.98496E-04,-1.475E-01
-2.98490E-04,-1.572E-01
-2.98485E-04,-1.084E-01
-2.98480E-04,-1.475E-01
-2.98475E-04,-1.182E-01
-2.98470E-04,-1.377E-01
-2.98464E-04,-9.863E-02
-2.98459E-04,-1.279E-01
-2.98454E-04,-8.887E-02
-2.98449E-04,-1.279E-01
-2.98444E-04,-6.934E-02
-2.98438E-04,-1.377E-01
-2.98433E-04,-9.863E-02
-2.98428E-04,-1.182E-01
-2.98423E-04,-1.182E-01
-2.98418E-04,-1.279E-01
-2.98412E-04,-9.863E-02
-2.98407E-04,-1.572E-01
-2.98402E-04,-9.863E-02
-2.98397E-04,-1.475E-01
-2.98392E-04,-1.670E-01
-2.98386E-04,-1.670E-01
-2.98381E-04,-1.475E-01
-2.98376E-04,-2.256E-01
-2.98371E-04,-1.963E-01
-2.98366E-04,-2.256E-01
-2.98360E-04,-2.158E-01
-2.98355E-04,-2.939E-01
-2.98350E-04,-2.646E-01
-2.98345E-04,-3.135E-01
-2.98340E-04,-2.842E-01
-2.98334E-04,-3.623E-01
-2.98329E-04,-3.525E-01
-2.98324E-04,-4.014E-01
-2.98319E-04,-3.623E-01
-2.98314E-04,-4.307E-01
-2.98308E-04,-4.307E-01
-2.98303E-04,-4.697E-01
-2.98298E-04,-4.893E-01
-2.98293E-04,-5.674E-01
-2.98288E-04,-5.479E-01
-2.98282E-04,-5.967E-01
-2.98277E-04,-5.771E-01
-2.98272E-04,-6.650E-01
-2.98267E-04,-6.553E-01
-2.98262E-04,-7.139E-01
-2.98256E-04,-7.236E-01
-2.98251E-04,-7.920E-01
-2.98246E-04,-7.920E-01
-2.98241E-04,-8.311E-01
-2.98236E-04,-8.506E-01
-2.98230E-04,-8.799E-01
-2.98225E-04,-9.092E-01
-2.98220E-04,-9.678E-01
-2.98215E-04,-9.482E-01
-2.98210E-04,-1.017E+00
-2.98204E-04,-1.036E+00
-2.98199E-04,-1.095E+00
-2.98194E-04,-1.075E+00
-2.98189E-04,-1.144E+00
